timestamp,system_id,unit_id,unit_role,mode,defrost,error_code,set_temp,room_temp,inlet_temp,outdoor_temp,liquid_pipe_temp,gas_pipe_temp,discharge_temp,suction_temp,heatsink_temp,cond_temp,evap_temp,subcool,superheat,high_pressure,low_pressure,comp_freq,comp_current,power,lev_pulse,fan_speed,capacity_demand
2026-01-06 00:00:00,SYS-1,IU-1,IU,cool,False,0,24.0,24.045980625909046,23.949809644668054,,11.772046122224488,11.146216802456898,,,,,,,,,,,,,254.01229909959088,895.8890942396439,60.935306234027884
2026-01-06 00:15:00,SYS-1,IU-1,IU,cool,False,0,24.0,23.926447868049575,24.320958711370093,,12.297759581699625,9.353345442659085,,,,,,,,,,,,,257.23522075166557,941.1366385710925,55.41705738330646
2026-01-06 00:30:00,SYS-1,IU-1,IU,cool,False,0,24.0,24.101732397489883,24.043587607688803,,11.854682450717192,10.630272390555616,,,,,,,,,,,,,257.895227872275,944.4724637355106,57.176075785928546
2026-01-06 00:45:00,SYS-1,IU-1,IU,cool,False,0,24.0,24.176473791318976,24.13588219617178,,12.245358494656932,10.88463429759657,,,,,,,,,,,,,259.41457945164865,935.0443102119107,63.22043460376415
2026-01-06 01:00:00,SYS-1,IU-1,IU,cool,False,0,24.0,24.316154820860717,24.268499051821077,,12.44560114242508,9.528002527642863,,,,,,,,,,,,,274.9865865207122,935.480092033032,63.356707680708084
2026-01-06 01:15:00,SYS-1,IU-1,IU,cool,False,0,24.0,24.441856818980707,24.300201608398037,,13.295749383783383,9.77663686510124,,,,,,,,,,,,,272.41135438479597,918.288249832619,61.56133683160369
2026-01-06 01:30:00,SYS-1,IU-1,IU,cool,False,0,24.0,24.230016321147055,24.313587953045197,,12.95207243177526,11.046562311318938,,,,,,,,,,,,,277.4287079697769,956.1277940744638,64.53919441182838
2026-01-06 01:45:00,SYS-1,IU-1,IU,cool,False,0,24.0,24.220056656857064,24.22406183297619,,12.829727240365656,10.643821496593533,,,,,,,,,,,,,281.1638781991055,953.2906641443745,63.28485645025183
2026-01-06 02:00:00,SYS-1,IU-1,IU,cool,False,0,24.0,24.724241475485822,25.056515846823682,,13.268093985327297,11.191781426264416,,,,,,,,,,,,,271.8056056559655,963.4625429657332,70.83156669707172
2026-01-06 02:15:00,SYS-1,IU-1,IU,cool,False,0,24.0,24.046604930009824,24.16806691592412,,13.314199609477232,11.680864000544657,,,,,,,,,,,,,267.8716511674336,955.3752511901181,73.31738298692594
2026-01-06 02:30:00,SYS-1,IU-1,IU,cool,False,0,24.0,24.423299433760555,24.530837331700006,,13.761440286312636,11.031448755349487,,,,,,,,,,,,,293.892602636638,971.8678094294451,69.99893525939133
2026-01-06 02:45:00,SYS-1,IU-1,IU,cool,False,0,24.0,25.125131093923788,25.080823524709896,,13.571948236416643,10.786708784760297,,,,,,,,,,,,,295.8116594423877,974.4993123680384,80.64529290579412
2026-01-06 03:00:00,SYS-1,IU-1,IU,cool,False,0,24.0,23.89494747362149,23.61210093072261,,14.311168910148726,10.049493046725036,,,,,,,,,,,,,289.12601595722384,990.2061446623097,64.73040577554721
2026-01-06 03:15:00,SYS-1,IU-1,IU,cool,False,0,24.0,24.5439242009553,24.52602352122171,,14.17598813812451,11.605979465405786,,,,,,,,,,,,,288.87427445601196,1017.779270840007,72.38315464892467
